ds,y
2022-05-29 23:59:00,105781099.4601786
2022-05-30 00:00:00,109590506.6666667
2022-05-30 00:01:00,113554151.66666654
2022-05-30 00:02:00,114110675.0
2022-05-30 00:03:00,113841828.33333334
2022-05-30 00:04:00,113088558.33333331
2022-05-30 00:05:00,115370651.66666676
2022-05-30 00:06:00,114017901.66666669
2022-05-30 00:07:00,112935619.99999996
2022-05-30 00:08:00,111669599.99999994
2022-05-30 00:09:00,112215098.33333328
2022-05-30 00:10:00,111844215.00000006
2022-05-30 00:11:00,111129666.6666667
2022-05-30 00:12:00,112041790.0
2022-05-30 00:13:00,111817148.33333331
2022-05-30 00:14:00,110762645.00000007
2022-05-30 00:15:00,109830828.33333328
2022-05-30 00:16:00,109518884.99999996
2022-05-30 00:17:00,109171463.33333334
2022-05-30 00:18:00,108134086.66666666
2022-05-30 00:19:00,107632734.99999996
2022-05-30 00:20:00,107674128.33333324
2022-05-30 00:21:00,107953591.66666672
2022-05-30 00:22:00,105946808.33333334
2022-05-30 00:23:00,104823716.66666669
2022-05-30 00:24:00,104010923.33333331
2022-05-30 00:25:00,104110276.6666667
2022-05-30 00:26:00,103256486.66666664
2022-05-30 00:27:00,102582970.00000006
2022-05-30 00:28:00,101704434.99999993
2022-05-30 00:29:00,101990315.00000012
2022-05-30 00:30:00,102389781.66666669
2022-05-30 00:31:00,99902179.99999996
2022-05-30 00:32:00,100448576.66666669
2022-05-30 00:33:00,100139374.99999996
2022-05-30 00:34:00,99046896.66666666
2022-05-30 00:35:00,98864313.33333328
2022-05-30 00:36:00,98072193.3333333
2022-05-30 00:37:00,97364014.99999993
2022-05-30 00:38:00,96603978.33333336
2022-05-30 00:39:00,94802388.33333331
2022-05-30 00:40:00,94009510.00000006
2022-05-30 00:41:00,93556353.33333331
2022-05-30 00:42:00,94517733.33333334
2022-05-30 00:43:00,94936776.66666669
2022-05-30 00:44:00,94551951.66666664
2022-05-30 00:45:00,93515858.3333333
2022-05-30 00:46:00,92879441.66666672
2022-05-30 00:47:00,92150485.0
2022-05-30 00:48:00,91358878.3333333
2022-05-30 00:49:00,89592591.66666669
2022-05-30 00:50:00,89105741.66666672
2022-05-30 00:51:00,88630616.66666673
2022-05-30 00:52:00,88074910.00000003
2022-05-30 00:53:00,87480155.00000001
2022-05-30 00:54:00,87163043.33333328
2022-05-30 00:55:00,86431695.00000003
2022-05-30 00:56:00,85807749.99999997
2022-05-30 00:57:00,85479870.00000007
2022-05-30 00:58:00,85662861.66666667
2022-05-30 00:59:00,84781538.3333333
2022-05-30 01:00:00,85796433.33333336
2022-05-30 01:01:00,84853031.66666672
2022-05-30 01:02:00,84075576.6666667
2022-05-30 01:03:00,84199803.33333336
2022-05-30 01:04:00,83171001.6666667
2022-05-30 01:05:00,82266531.66666666
2022-05-30 01:06:00,81834515.0
2022-05-30 01:07:00,81720076.66666667
2022-05-30 01:08:00,82251283.33333337
2022-05-30 01:09:00,82418980.0
2022-05-30 01:10:00,81709588.33333334
2022-05-30 01:11:00,79334779.99999997
2022-05-30 01:12:00,81160123.33333333
2022-05-30 01:13:00,83998635.0
2022-05-30 01:14:00,84022983.33333339
2022-05-30 01:15:00,81881356.66666663
2022-05-30 01:16:00,80300103.33333336
2022-05-30 01:17:00,82315601.66666669
2022-05-30 01:18:00,79303909.99999997
2022-05-30 01:19:00,79964009.99999999
2022-05-30 01:20:00,79070028.33333333
2022-05-30 01:21:00,78188424.99999999
2022-05-30 01:22:00,78218210.00000004
2022-05-30 01:23:00,79677861.66666666
2022-05-30 01:24:00,74524940.00000006
2022-05-30 01:25:00,75712081.66666666
2022-05-30 01:26:00,76341393.33333327
2022-05-30 01:27:00,75072071.66666666
2022-05-30 01:28:00,74172723.33333328
2022-05-30 01:29:00,74070254.99999996
2022-05-30 01:30:00,74719376.66666666
2022-05-30 01:31:00,70631493.33333333
2022-05-30 01:32:00,69682899.99999999
2022-05-30 01:33:00,69480098.33333334
2022-05-30 01:34:00,69153676.66666663
2022-05-30 01:35:00,67915855.0
2022-05-30 01:36:00,67636158.33333333
2022-05-30 01:37:00,67333116.66666669
2022-05-30 01:38:00,66913373.33333336
2022-05-30 01:39:00,66454208.33333335
2022-05-30 01:40:00,66242714.99999998
2022-05-30 01:41:00,65716490.000000045
2022-05-30 01:42:00,65412293.33333338
2022-05-30 01:43:00,65000553.333333306
2022-05-30 01:44:00,64763020.00000002
2022-05-30 01:45:00,64365804.99999999
2022-05-30 01:46:00,63961916.66666667
2022-05-30 01:47:00,63488098.33333336
2022-05-30 01:48:00,63430499.99999995
2022-05-30 01:49:00,62844600.00000001
2022-05-30 01:50:00,62872133.33333332
2022-05-30 01:51:00,62226359.99999999
2022-05-30 01:52:00,61845583.33333333
2022-05-30 01:53:00,61681025.00000003
2022-05-30 01:54:00,62017643.33333336
2022-05-30 01:55:00,61123101.66666669
2022-05-30 01:56:00,60736234.99999999
2022-05-30 01:57:00,60405321.66666669
2022-05-30 01:58:00,60150591.66666669
2022-05-30 01:59:00,59755441.66666666
2022-05-30 02:00:00,62144075.00000001
2022-05-30 02:01:00,60604471.6666667
2022-05-30 02:02:00,59605303.33333336
2022-05-30 02:03:00,59183915.00000001
2022-05-30 02:04:00,58219629.99999999
2022-05-30 02:05:00,58699386.66666666
2022-05-30 02:06:00,59091806.66666666
2022-05-30 02:07:00,58556423.33333334
2022-05-30 02:08:00,61999361.66666669
2022-05-30 02:09:00,60000208.33333333
2022-05-30 02:10:00,59485871.66666668
2022-05-30 02:11:00,58942275.00000002
2022-05-30 02:12:00,59199595.000000015
2022-05-30 02:13:00,59127530.0
2022-05-30 02:14:00,58114140.00000002
2022-05-30 02:15:00,58674384.99999999
2022-05-30 02:16:00,57427393.33333332
2022-05-30 02:17:00,57161580.000000015
2022-05-30 02:18:00,58168028.333333336
2022-05-30 02:19:00,52942096.66666669
2022-05-30 02:20:00,53159668.33333327
2022-05-30 02:21:00,52636325.00000002
2022-05-30 02:22:00,52227676.66666667
2022-05-30 02:23:00,52257286.66666671
2022-05-30 02:24:00,51903833.33333339
2022-05-30 02:25:00,51818748.33333333
2022-05-30 02:26:00,51462366.66666664
2022-05-30 02:27:00,51185224.99999998
2022-05-30 02:28:00,50964515.000000015
2022-05-30 02:29:00,50735778.33333339
2022-05-30 02:30:00,51332026.66666666
2022-05-30 02:31:00,52559721.66666669
2022-05-30 02:32:00,54425455.00000003
2022-05-30 02:33:00,53346101.66666667
2022-05-30 02:34:00,54371648.33333336
2022-05-30 02:35:00,53674250.000000045
2022-05-30 02:36:00,54343625.00000002
2022-05-30 02:37:00,53187353.33333333
2022-05-30 02:38:00,53736643.33333333
2022-05-30 02:39:00,53437883.33333332
2022-05-30 02:40:00,53631643.33333335
2022-05-30 02:41:00,53644686.66666666
2022-05-30 02:42:00,54097819.99999994
2022-05-30 02:43:00,52643709.99999999
2022-05-30 02:44:00,52647560.00000002
2022-05-30 02:45:00,51620694.99999997
2022-05-30 02:46:00,51803803.333333336
2022-05-30 02:47:00,54058071.66666663
