ds,y
2022-05-29 23:58:00,251963029.33333337
2022-05-29 23:59:00,250604756.79999995
2022-05-30 00:00:00,249589349.06666663
2022-05-30 00:01:00,271860999.66666687
2022-05-30 00:02:00,255930010.2333333
2022-05-30 00:03:00,256793755.1225808
2022-05-30 00:04:00,257685495.42988524
2022-05-30 00:05:00,253713507.7333333
2022-05-30 00:06:00,258817466.1920652
2022-05-30 00:07:00,258140607.59569907
2022-05-30 00:08:00,255704822.51034468
2022-05-30 00:09:00,252687470.39999983
2022-05-30 00:10:00,252851202.9333332
2022-05-30 00:11:00,252030923.46666655
2022-05-30 00:12:00,249467641.86666676
2022-05-30 00:13:00,247518724.13333336
2022-05-30 00:14:00,246724336.13333344
2022-05-30 00:15:00,244974680.80000004
2022-05-30 00:16:00,244302079.92109755
2022-05-30 00:17:00,242123643.2
2022-05-30 00:18:00,240664449.5741936
2022-05-30 00:19:00,236948897.6367816
2022-05-30 00:20:00,235321639.7075269
2022-05-30 00:21:00,237257659.26021492
2022-05-30 00:22:00,233931148.76321867
2022-05-30 00:23:00,232356497.06666663
2022-05-30 00:24:00,231250147.20000005
2022-05-30 00:25:00,229687596.0
2022-05-30 00:26:00,228907134.65450495
2022-05-30 00:27:00,226228724.455914
2022-05-30 00:28:00,225455788.2666668
2022-05-30 00:29:00,223274644.8
2022-05-30 00:30:00,222139493.62580645
2022-05-30 00:31:00,223064713.06666663
2022-05-30 00:32:00,214136915.01075268
2022-05-30 00:33:00,213698015.0114942
2022-05-30 00:34:00,209525623.3333335
2022-05-30 00:35:00,211669821.99999985
2022-05-30 00:36:00,215271954.9333333
2022-05-30 00:37:00,213286639.1999999
2022-05-30 00:38:00,207024889.3333332
2022-05-30 00:39:00,207241571.3333332
2022-05-30 00:40:00,209631983.2
2022-05-30 00:41:00,210216645.6
2022-05-30 00:42:00,207202868.3218391
2022-05-30 00:43:00,206410079.2
2022-05-30 00:44:00,205278548.5333336
2022-05-30 00:45:00,204336200.11182797
2022-05-30 00:46:00,204276338.93333337
2022-05-30 00:47:00,202100378.39999995
2022-05-30 00:48:00,200692174.8215054
2022-05-30 00:49:00,199280002.6666667
2022-05-30 00:50:00,194272441.3333333
2022-05-30 00:51:00,188904696.0666668
2022-05-30 00:52:00,189906342.66666675
2022-05-30 00:53:00,191900760.00215048
2022-05-30 00:54:00,191161503.83225808
2022-05-30 00:55:00,190100278.2
2022-05-30 00:56:00,191012753.8666666
2022-05-30 00:57:00,186165776.00000003
2022-05-30 00:58:00,185106136.19999987
2022-05-30 00:59:00,188451238.13333327
2022-05-30 01:00:00,188682782.56907672
2022-05-30 01:01:00,188514239.9612904
2022-05-30 01:02:00,187949803.9632184
2022-05-30 01:03:00,187638882.13333336
2022-05-30 01:04:00,190145068.03678164
2022-05-30 01:05:00,184868491.8193549
2022-05-30 01:06:00,184799643.73333335
2022-05-30 01:07:00,182830766.7612903
2022-05-30 01:08:00,181827380.53333336
2022-05-30 01:09:00,181371201.39354843
2022-05-30 01:10:00,181296129.86666664
2022-05-30 01:11:00,181464907.73333347
2022-05-30 01:12:00,178358390.21075264
2022-05-30 01:13:00,180288278.6666666
2022-05-30 01:14:00,192370602.5032256
2022-05-30 01:15:00,192148836.8
2022-05-30 01:16:00,190767539.1999999
2022-05-30 01:17:00,184760533.770115
2022-05-30 01:18:00,184209245.7333333
2022-05-30 01:19:00,177699449.33333328
2022-05-30 01:20:00,185179144.53333324
2022-05-30 01:21:00,185453851.46666667
2022-05-30 01:22:00,183813613.6000001
2022-05-30 01:23:00,182038135.64731175
2022-05-30 01:24:00,181294072.9839081
2022-05-30 01:25:00,166864366.43333334
2022-05-30 01:26:00,168851594.09999996
2022-05-30 01:27:00,179853590.3816092
2022-05-30 01:28:00,177868012.891954
2022-05-30 01:29:00,176790433.28735632
2022-05-30 01:30:00,175169532.40430114
2022-05-30 01:31:00,176050462.39999998
2022-05-30 01:32:00,161900683.11724132
2022-05-30 01:33:00,160891923.56021506
2022-05-30 01:34:00,159622252.9999999
2022-05-30 01:35:00,158619282.93333334
2022-05-30 01:36:00,156902408.983908
2022-05-30 01:37:00,155391141.06666672
2022-05-30 01:38:00,151892162.36781612
2022-05-30 01:39:00,153054290.5471264
2022-05-30 01:40:00,154070502.13333336
2022-05-30 01:41:00,153905803.23678163
2022-05-30 01:42:00,152822584.79999995
2022-05-30 01:43:00,152276538.5747127
2022-05-30 01:44:00,151317076.7080459
2022-05-30 01:45:00,151276717.5999999
2022-05-30 01:46:00,150256872.26666668
2022-05-30 01:47:00,150768870.00459772
2022-05-30 01:48:00,149201938.9333334
2022-05-30 01:49:00,149229224.45977017
2022-05-30 01:50:00,147918474.9333334
2022-05-30 01:51:00,147919438.1333333
2022-05-30 01:52:00,147134418.27126443
2022-05-30 01:53:00,143749732.1333333
2022-05-30 01:54:00,144020794.99310336
2022-05-30 01:55:00,145663921.86666662
2022-05-30 01:56:00,144201210.93333325
2022-05-30 01:57:00,144142033.04827577
2022-05-30 01:58:00,143960264.82580638
2022-05-30 01:59:00,143418295.40229887
2022-05-30 02:00:00,143017595.8988504
2022-05-30 02:01:00,145299878.13333336
2022-05-30 02:02:00,144695997.6
2022-05-30 02:03:00,143568033.06666672
2022-05-30 02:04:00,143440833.33333337
2022-05-30 02:05:00,139505360.16666663
2022-05-30 02:06:00,138261985.03333333
2022-05-30 02:07:00,139462527.00000003
2022-05-30 02:08:00,140277042.39999995
2022-05-30 02:09:00,155716026.1333333
2022-05-30 02:10:00,154342452.99784935
2022-05-30 02:11:00,153384852.8
2022-05-30 02:12:00,152095208.26666674
2022-05-30 02:13:00,153140211.46666655
2022-05-30 02:14:00,148307654.83333328
2022-05-30 02:15:00,150006050.40000007
2022-05-30 02:16:00,151442720.5333334
2022-05-30 02:17:00,149826769.06666663
2022-05-30 02:18:00,149845973.88387102
2022-05-30 02:19:00,144554275.33333334
2022-05-30 02:20:00,130629998.13333333
2022-05-30 02:21:00,132106526.4
2022-05-30 02:22:00,131099110.9333333
2022-05-30 02:23:00,131377223.4666667
2022-05-30 02:24:00,130850089.3333334
2022-05-30 02:25:00,128789128.79999997
2022-05-30 02:26:00,128908381.33333336
2022-05-30 02:27:00,129831367.73333327
2022-05-30 02:28:00,129441409.33333334
2022-05-30 02:29:00,128664531.20000003
2022-05-30 02:30:00,128879416.5333333
2022-05-30 02:31:00,128123522.40000002
2022-05-30 02:32:00,131386207.16666666
2022-05-30 02:33:00,143276034.39999998
2022-05-30 02:34:00,139971065.86666662
2022-05-30 02:35:00,143187018.66666663
2022-05-30 02:36:00,141588680.00000003
2022-05-30 02:37:00,139365304.8000001
2022-05-30 02:38:00,138967560.53333333
2022-05-30 02:39:00,140464166.93333334
2022-05-30 02:40:00,138035648.0000001
2022-05-30 02:41:00,138223406.56666672
2022-05-30 02:42:00,138959166.96666667
2022-05-30 02:43:00,136767579.89999995
2022-05-30 02:44:00,139028299.46666658
2022-05-30 02:45:00,138571233.96666655
2022-05-30 02:46:00,138376774.93333334
2022-05-30 02:47:00,139189841.86666664
2022-05-30 02:48:00,137961268.8
2022-05-30 02:49:00,133103965.6
2022-05-30 02:50:00,133149779.99999994
2022-05-30 02:51:00,137218157.23218387
2022-05-30 02:52:00,137182051.4666667
2022-05-30 02:53:00,136907057.86666664
2022-05-30 02:54:00,131408780.4
2022-05-30 02:55:00,131325230.04597709
2022-05-30 02:56:00,131665048.26666662
2022-05-30 02:57:00,128800998.66666657
2022-05-30 02:58:00,127956869.33333331
2022-05-30 02:59:00,125836535.76666673
2022-05-30 03:00:00,133902722.39999996
2022-05-30 03:01:00,137670302.13333324
2022-05-30 03:02:00,137131781.60000005
2022-05-30 03:03:00,132953592.56666668
2022-05-30 03:04:00,136274923.4666667
2022-05-30 03:05:00,120350357.6000001
2022-05-30 03:06:00,116242887.56666672
2022-05-30 03:07:00,117039349.33333343
2022-05-30 03:08:00,132005036.33333324
2022-05-30 03:09:00,131576892.30000004
2022-05-30 03:10:00,131224225.79999994
2022-05-30 03:11:00,131450013.8666666
2022-05-30 03:12:00,131053496.53333332
2022-05-30 03:13:00,116320045.3333334
2022-05-30 03:14:00,115357051.13333333
2022-05-30 03:15:00,129322101.76666668
2022-05-30 03:16:00,127035198.90000004
2022-05-30 03:17:00,128233739.99999996
2022-05-30 03:18:00,130409081.33333336
2022-05-30 03:19:00,126180947.33333336
2022-05-30 03:20:00,110980904.69999996
2022-05-30 03:21:00,111416554.66666672
2022-05-30 03:22:00,112744635.46666662
2022-05-30 03:23:00,112349264.80000004
2022-05-30 03:24:00,111819589.23333332
2022-05-30 03:25:00,109978247.3333333
2022-05-30 03:26:00,111299285.06666677
2022-05-30 03:27:00,109213247.33333336
2022-05-30 03:28:00,108889986.66666669
2022-05-30 03:29:00,110989409.86666666
2022-05-30 03:30:00,123108392.26666673
2022-05-30 03:31:00,128588518.66666672
2022-05-30 03:32:00,128000588.26666678
2022-05-30 03:33:00,127897158.93333332
