ds,y
2022-05-29 23:59:00,4226162.42101511
2022-05-30 00:00:00,4846338.466666667
2022-05-30 00:01:00,5826854.833333336
2022-05-30 00:02:00,6416144.816666668
2022-05-30 00:03:00,6464296.183333332
2022-05-30 00:04:00,7528225.599999998
2022-05-30 00:05:00,7711923.916666671
2022-05-30 00:06:00,6745524.91666667
2022-05-30 00:07:00,5081728.399999999
2022-05-30 00:08:00,4788567.933333332
2022-05-30 00:09:00,5077363.083333333
2022-05-30 00:10:00,4285053.149999998
2022-05-30 00:11:00,3802050.000000002
2022-05-30 00:12:00,3574960.3166666664
2022-05-30 00:13:00,3481180.3833333342
2022-05-30 00:14:00,3270978.783333333
2022-05-30 00:15:00,3992451.983333333
2022-05-30 00:16:00,4734567.716666669
2022-05-30 00:17:00,4578493.266666667
2022-05-30 00:18:00,4138871.566666668
2022-05-30 00:19:00,3578427.1833333327
2022-05-30 00:20:00,4735275.766666666
2022-05-30 00:21:00,4728578.05
2022-05-30 00:22:00,4039982.566666667
2022-05-30 00:23:00,4380655.7666666685
2022-05-30 00:24:00,4648967.050000001
2022-05-30 00:25:00,5191878.7666666685
2022-05-30 00:26:00,4510103.966666668
2022-05-30 00:27:00,4432129.216666665
2022-05-30 00:28:00,4202459.21666667
2022-05-30 00:29:00,4599478.916666666
2022-05-30 00:30:00,5365352.999999999
2022-05-30 00:31:00,5189326.216666665
2022-05-30 00:32:00,4910983.233333334
2022-05-30 00:33:00,4014972.7333333343
2022-05-30 00:34:00,3842232.333333334
2022-05-30 00:35:00,4082342.600000003
2022-05-30 00:36:00,3884731.1999999983
2022-05-30 00:37:00,3818551.333333335
2022-05-30 00:38:00,3845957.033333333
2022-05-30 00:39:00,3846036.366666666
2022-05-30 00:40:00,5478882.966666668
2022-05-30 00:41:00,6858614.583333334
2022-05-30 00:42:00,7464394.000000004
2022-05-30 00:43:00,6786556.116666669
2022-05-30 00:44:00,7099978.316666666
2022-05-30 00:45:00,8513769.716666667
2022-05-30 00:46:00,6758664.499999998
2022-05-30 00:47:00,5863943.166666667
2022-05-30 00:48:00,5372734.966666671
2022-05-30 00:49:00,5065074.3500000015
2022-05-30 00:50:00,4741912.000000003
2022-05-30 00:51:00,4298393.05
2022-05-30 00:52:00,3982797.116666665
2022-05-30 00:53:00,3287620.9333333345
2022-05-30 00:54:00,3043030.3166666664
2022-05-30 00:55:00,3201532.366666666
2022-05-30 00:56:00,3696130.083333333
2022-05-30 00:57:00,3360851.5500000003
2022-05-30 00:58:00,3105731.416666665
2022-05-30 00:59:00,3073766.0333333337
2022-05-30 01:00:00,5097101.216666667
2022-05-30 01:01:00,5864143.483333337
2022-05-30 01:02:00,6891591.466666667
2022-05-30 01:03:00,6436928.166666663
2022-05-30 01:04:00,6529424.883333333
2022-05-30 01:05:00,7476151.200000001
2022-05-30 01:06:00,6246502.383333333
2022-05-30 01:07:00,5142033.633333334
2022-05-30 01:08:00,4635988.116666667
2022-05-30 01:09:00,4498604.599999999
2022-05-30 01:10:00,4112572.566666667
2022-05-30 01:11:00,3747787.983333333
2022-05-30 01:12:00,3369520.7
2022-05-30 01:13:00,3062730.7666666666
2022-05-30 01:14:00,2988528.316666668
2022-05-30 01:15:00,3510549.583333332
2022-05-30 01:16:00,3785883.85
2022-05-30 01:17:00,3815562.45
2022-05-30 01:18:00,3268473.833333333
2022-05-30 01:19:00,3077205.133333333
2022-05-30 01:20:00,4614105.999999997
2022-05-30 01:21:00,5511546.483333333
2022-05-30 01:22:00,6391228.199999999
2022-05-30 01:23:00,5684054.833333332
2022-05-30 01:24:00,6301159.083333333
2022-05-30 01:25:00,7333529.699999997
2022-05-30 01:26:00,5835440.683333335
2022-05-30 01:27:00,4819317.533333333
2022-05-30 01:28:00,4536519.983333332
2022-05-30 01:29:00,4204527.833333332
2022-05-30 01:30:00,4358716.133333334
2022-05-30 01:31:00,4338335.399999999
2022-05-30 01:32:00,4210872.516666668
2022-05-30 01:33:00,3325304.2666666675
2022-05-30 01:34:00,3026578.566666665
2022-05-30 01:35:00,3355591.7500000005
2022-05-30 01:36:00,3304511.0
2022-05-30 01:37:00,3271676.916666666
2022-05-30 01:38:00,3155336.5666666664
2022-05-30 01:39:00,3290685.1833333327
2022-05-30 01:40:00,4595946.6000000015
2022-05-30 01:41:00,5639005.400000001
2022-05-30 01:42:00,6361843.133333336
2022-05-30 01:43:00,5954305.816666662
2022-05-30 01:44:00,6235998.649999999
2022-05-30 01:45:00,7810850.600000002
2022-05-30 01:46:00,6127811.783333336
2022-05-30 01:47:00,5582303.883333331
2022-05-30 01:48:00,4902151.45
2022-05-30 01:49:00,4480911.283333333
2022-05-30 01:50:00,4019504.650000002
2022-05-30 01:51:00,3763148.900000001
2022-05-30 01:52:00,3660604.616666666
2022-05-30 01:53:00,3130233.5166666675
2022-05-30 01:54:00,2876136.783333333
2022-05-30 01:55:00,2780726.5500000003
2022-05-30 01:56:00,3004914.616666667
2022-05-30 01:57:00,2932695.4999999995
2022-05-30 01:58:00,2601695.016666668
2022-05-30 01:59:00,2533771.8000000007
2022-05-30 02:00:00,5209375.733333332
2022-05-30 02:01:00,5672031.866666669
2022-05-30 02:02:00,6673464.466666667
2022-05-30 02:03:00,6360881.216666663
2022-05-30 02:04:00,6359679.316666672
2022-05-30 02:05:00,7284938.033333337
2022-05-30 02:06:00,5945712.033333336
2022-05-30 02:07:00,5082898.5666666655
2022-05-30 02:08:00,4581353.233333334
2022-05-30 02:09:00,4424297.033333333
2022-05-30 02:10:00,3629619.000000001
2022-05-30 02:11:00,3610097.0500000017
2022-05-30 02:12:00,3152311.983333335
2022-05-30 02:13:00,2698668.1166666658
2022-05-30 02:14:00,2608228.116666668
2022-05-30 02:15:00,3103964.266666666
2022-05-30 02:16:00,3235429.516666668
2022-05-30 02:17:00,2960136.9
2022-05-30 02:18:00,2847352.666666665
2022-05-30 02:19:00,2515295.0666666664
2022-05-30 02:20:00,4204849.133333334
2022-05-30 02:21:00,5105780.283333331
2022-05-30 02:22:00,6021634.033333334
2022-05-30 02:23:00,5417716.966666666
2022-05-30 02:24:00,5968446.983333334
2022-05-30 02:25:00,7050974.116666668
2022-05-30 02:26:00,5233689.416666665
2022-05-30 02:27:00,4302397.400000002
2022-05-30 02:28:00,3869076.7500000014
2022-05-30 02:29:00,3783967.95
2022-05-30 02:30:00,3698956.333333333
2022-05-30 02:31:00,3654827.166666666
2022-05-30 02:32:00,3742343.733333336
2022-05-30 02:33:00,2900230.316666667
2022-05-30 02:34:00,2435983.5500000003
2022-05-30 02:35:00,2560701.5
2022-05-30 02:36:00,2706593.516666666
2022-05-30 02:37:00,2494952.0166666666
2022-05-30 02:38:00,2264022.600000001
2022-05-30 02:39:00,2391747.283333334
2022-05-30 02:40:00,4063494.983333332
2022-05-30 02:41:00,5322096.5
2022-05-30 02:42:00,5778344.483333333
2022-05-30 02:43:00,5580550.616666667
2022-05-30 02:44:00,5796434.46666667
2022-05-30 02:45:00,7282236.733333335
2022-05-30 02:46:00,5680064.366666665
2022-05-30 02:47:00,5117969.8500000015
2022-05-30 02:48:00,4501696.616666664
2022-05-30 02:49:00,3846655.166666666
2022-05-30 02:50:00,3684884.5833333344
2022-05-30 02:51:00,3435641.0666666664
2022-05-30 02:52:00,3093016.266666666
2022-05-30 02:53:00,2617375.2500000005
2022-05-30 02:54:00,2649152.2166666677
2022-05-30 02:55:00,2541477.050000001
2022-05-30 02:56:00,2864595.7666666675
2022-05-30 02:57:00,2907534.9333333354
2022-05-30 02:58:00,2904734.4666666677
2022-05-30 02:59:00,2662387.000000001
2022-05-30 03:00:00,4860685.9
2022-05-30 03:01:00,5888992.666666668
2022-05-30 03:02:00,6392848.583333335
2022-05-30 03:03:00,5836475.983333332
2022-05-30 03:04:00,6090086.799999995
2022-05-30 03:05:00,7123522.466666669
2022-05-30 03:06:00,5573706.133333333
2022-05-30 03:07:00,4666836.883333333
2022-05-30 03:08:00,4361465.033333332
2022-05-30 03:09:00,4120864.883333334
2022-05-30 03:10:00,3631427.8
2022-05-30 03:11:00,3398679.666666667
2022-05-30 03:12:00,3215905.583333335
2022-05-30 03:13:00,2660820.1666666665
2022-05-30 03:14:00,2429904.633333334
2022-05-30 03:15:00,3158866.900000001
2022-05-30 03:16:00,3477346.600000001
2022-05-30 03:17:00,3087169.4000000013
2022-05-30 03:18:00,2928240.9333333336
2022-05-30 03:19:00,2814151.6666666665
2022-05-30 03:20:00,4328079.583333333
2022-05-30 03:21:00,5023333.116666668
2022-05-30 03:22:00,5970932.100000002
2022-05-30 03:23:00,5432625.683333335
2022-05-30 03:24:00,5936953.633333337
2022-05-30 03:25:00,6729799.066666666
2022-05-30 03:26:00,5463547.833333335
2022-05-30 03:27:00,4151265.416666666
