ds,y
2022-05-29 23:59:00,3974532.240184641
2022-05-30 00:00:00,3934613.066666668
2022-05-30 00:01:00,3943632.133333333
2022-05-30 00:02:00,3937158.4
2022-05-30 00:03:00,3908224.4
2022-05-30 00:04:00,3875306.8
2022-05-30 00:05:00,3837672.666666667
2022-05-30 00:06:00,3806438.666666667
2022-05-30 00:07:00,3781721.333333332
2022-05-30 00:08:00,3757874.933333334
2022-05-30 00:09:00,3733657.466666668
2022-05-30 00:10:00,3711111.333333333
2022-05-30 00:11:00,3690690.4
2022-05-30 00:12:00,3669922.933333335
2022-05-30 00:13:00,3626695.2000000007
2022-05-30 00:14:00,3593099.866666666
2022-05-30 00:15:00,3590112.9333333327
2022-05-30 00:16:00,3541509.333333333
2022-05-30 00:17:00,3518901.8666666667
2022-05-30 00:18:00,3478746.933333332
2022-05-30 00:19:00,3456771.2
2022-05-30 00:20:00,3413966.66666667
2022-05-30 00:21:00,3392496.9333333336
2022-05-30 00:22:00,3360471.7333333325
2022-05-30 00:23:00,3323647.2000000007
2022-05-30 00:24:00,3290947.333333336
2022-05-30 00:25:00,3260381.8666666667
2022-05-30 00:26:00,3240006.933333334
2022-05-30 00:27:00,3205792.133333332
2022-05-30 00:28:00,3183313.466666669
2022-05-30 00:29:00,3149402.2666666657
2022-05-30 00:30:00,3122246.9333333336
2022-05-30 00:31:00,3093690.133333334
2022-05-30 00:32:00,2991600.8000000007
2022-05-30 00:33:00,3053654.8000000003
2022-05-30 00:34:00,2954168.266666667
2022-05-30 00:35:00,2914689.8166666683
2022-05-30 00:36:00,2894504.583333332
2022-05-30 00:37:00,2874763.8666666658
2022-05-30 00:38:00,2858934.299999999
2022-05-30 00:39:00,2830473.3000000007
2022-05-30 00:40:00,2793393.4500000007
2022-05-30 00:41:00,2761758.1833333336
2022-05-30 00:42:00,2742121.8833333333
2022-05-30 00:43:00,2717718.216666668
2022-05-30 00:44:00,2623799.900000001
2022-05-30 00:45:00,2666476.483333335
2022-05-30 00:46:00,2568706.900000001
2022-05-30 00:47:00,2553284.7
2022-05-30 00:48:00,2538143.8
2022-05-30 00:49:00,2513389.399999999
2022-05-30 00:50:00,2425696.3
2022-05-30 00:51:00,2461708.5000000014
2022-05-30 00:52:00,2384398.4666666663
2022-05-30 00:53:00,2353437.666666667
2022-05-30 00:54:00,2334467.416666668
2022-05-30 00:55:00,2313948.0000000005
2022-05-30 00:56:00,2239095.083333333
2022-05-30 00:57:00,2285271.5166666666
2022-05-30 00:58:00,2190318.400000002
2022-05-30 00:59:00,2178985.9999999995
2022-05-30 01:00:00,2144633.466666668
2022-05-30 01:01:00,2173267.866666667
2022-05-30 01:02:00,2136450.599999999
2022-05-30 01:03:00,2115379.8000000017
2022-05-30 01:04:00,2095540.200000001
2022-05-30 01:05:00,2081586.6
2022-05-30 01:06:00,2064409.2
2022-05-30 01:07:00,2047947.3000000007
2022-05-30 01:08:00,2033572.5
2022-05-30 01:09:00,2029395.6000000013
2022-05-30 01:10:00,2016732.6
2022-05-30 01:11:00,1980447.300000001
2022-05-30 01:12:00,1978611.3000000005
2022-05-30 01:13:00,1928536.000000001
2022-05-30 01:14:00,1911040.0
2022-05-30 01:15:00,1887066.666666667
2022-05-30 01:16:00,1866845.3333333333
2022-05-30 01:17:00,1858282.6666666677
2022-05-30 01:18:00,1844311.9999999995
2022-05-30 01:19:00,1828962.666666668
2022-05-30 01:20:00,1799165.3333333335
2022-05-30 01:21:00,1777735.9999999995
2022-05-30 01:22:00,1767506.666666667
2022-05-30 01:23:00,1749272.0000000007
2022-05-30 01:24:00,1727967.9999999993
2022-05-30 01:25:00,1718634.6666666656
2022-05-30 01:26:00,1699655.9999999995
2022-05-30 01:27:00,1693469.333333333
2022-05-30 01:28:00,1682186.6666666665
2022-05-30 01:29:00,1661781.333333334
2022-05-30 01:30:00,1638978.666666666
2022-05-30 01:31:00,1628173.333333333
2022-05-30 01:32:00,1626597.3333333328
2022-05-30 01:33:00,1611447.9999999995
2022-05-30 01:34:00,1595365.333333335
2022-05-30 01:35:00,1581106.6666666665
2022-05-30 01:36:00,1568037.333333333
2022-05-30 01:37:00,1554840.0
2022-05-30 01:38:00,1552936.0000000005
2022-05-30 01:39:00,1539082.666666667
2022-05-30 01:40:00,1521224.0000000005
2022-05-30 01:41:00,1507175.9999999988
2022-05-30 01:42:00,1498834.6666666667
2022-05-30 01:43:00,1472890.6666666665
2022-05-30 01:44:00,1470157.3333333335
2022-05-30 01:45:00,1457541.3333333335
2022-05-30 01:46:00,1451442.6666666667
2022-05-30 01:47:00,1446186.6666666674
2022-05-30 01:48:00,1436221.333333334
2022-05-30 01:49:00,1428357.333333333
2022-05-30 01:50:00,1417522.6666666665
2022-05-30 01:51:00,1392000.0000000005
2022-05-30 01:52:00,1388192.0000000002
2022-05-30 01:53:00,1379234.6666666674
2022-05-30 01:54:00,1367301.3333333335
2022-05-30 01:55:00,1353261.3333333335
2022-05-30 01:56:00,1339464.0000000005
2022-05-30 01:57:00,1334856.0000000005
2022-05-30 01:58:00,1322304.0000000002
