ds,y
2022-05-29 23:59:00,39130608.36203121
2022-05-30 00:00:00,38789679.5
2022-05-30 00:01:00,38396440.50000001
2022-05-30 00:02:00,38204226.49999999
2022-05-30 00:03:00,37986288.99999999
2022-05-30 00:04:00,37593599.99999997
2022-05-30 00:05:00,30761395.50000003
2022-05-30 00:06:00,36980383.00000003
2022-05-30 00:07:00,28857995.83333331
2022-05-30 00:08:00,27652933.33333334
2022-05-30 00:09:00,27546033.33333333
2022-05-30 00:10:00,27321629.16666667
2022-05-30 00:11:00,27135533.33333335
2022-05-30 00:12:00,26978816.666666668
2022-05-30 00:13:00,26855608.333333336
2022-05-30 00:14:00,26660970.83333333
2022-05-30 00:15:00,26453429.16666667
2022-05-30 00:16:00,26254495.833333336
2022-05-30 00:17:00,26124850.00000001
2022-05-30 00:18:00,25937679.16666669
2022-05-30 00:19:00,25758462.500000022
2022-05-30 00:20:00,25616824.999999996
2022-05-30 00:21:00,25368129.166666668
2022-05-30 00:22:00,25233033.333333343
2022-05-30 00:23:00,25097275.000000007
2022-05-30 00:24:00,24980812.5
2022-05-30 00:25:00,24749691.66666667
2022-05-30 00:26:00,24566425.000000004
2022-05-30 00:27:00,24462445.83333333
2022-05-30 00:28:00,24306600.0
2022-05-30 00:29:00,24116508.333333343
2022-05-30 00:30:00,23985429.166666675
2022-05-30 00:31:00,23726226.450000007
2022-05-30 00:32:00,23651566.66666665
2022-05-30 00:33:00,23515458.333333336
2022-05-30 00:34:00,23399783.333333325
2022-05-30 00:35:00,23233925.000000004
2022-05-30 00:36:00,23052383.33333333
2022-05-30 00:37:00,22942337.5
2022-05-30 00:38:00,22834016.66666668
2022-05-30 00:39:00,22669662.499999985
2022-05-30 00:40:00,22501954.16666667
2022-05-30 00:41:00,22360679.16666667
2022-05-30 00:42:00,22211529.166666687
2022-05-30 00:43:00,22094166.66666666
2022-05-30 00:44:00,21957545.833333336
2022-05-30 00:45:00,21837854.166666668
2022-05-30 00:46:00,21659983.333333336
2022-05-30 00:47:00,21505908.333333343
